Claim_ID,Claim_Text,Evidence_Type,Evidence_Source,Verification_Status,Visual_Required,Notes
C1,End-to-end text-to-pandas pipeline achieves competitive accuracy on ViFinQA benchmark,experiment,"ViFinQA benchmark evaluation: answer accuracy, execution accuracy",planned,yes,"Table: main results comparing system accuracy against baselines; Figure: pipeline architecture diagram"
C1,System provides full answer provenance (source docs + table refs + executable code),experiment,"Submission format validation; provenance completeness check across all answered questions",planned,no,"Describe provenance structure in system design section; show example in case study"
C1,Deterministic metadata routing prevents cross-entity data leakage,citation+experiment,"Literature: FinQA/TAT-QA lack metadata routing; Experiment: ablation removing metadata filters",planned,no,"Ablation: accuracy with vs without metadata routing constraints"
C1,Text-to-pandas is more suitable than text-to-SQL for file-based financial table reasoning,citation,"Chen et al. 2021 (FinQA); Zhu et al. 2021 (TAT-QA); PandasAI; Text-to-Pipeline (2025); comparison of SQL vs pandas expressiveness for heterogeneous CSV schemas",verified,yes,"Table: qualitative comparison of text-to-SQL vs text-to-pandas capabilities for financial QA tasks"
C1,Multi-stage progressive filtering effectively narrows search from thousands to minimal evidence set,experiment,"Stage-by-stage candidate counts and evidence metrics (precision/recall/F2) at each stage",planned,yes,"Figure: funnel diagram showing candidate reduction at each stage; Table: metrics per stage"
C2,Concept coverage matrix improves table selection precision for multi-table financial calculations,experiment,"Ablation: selection with vs without concept coverage matrix; F2/precision/recall/MRR@5 metrics",planned,yes,"Table: ablation results; qualitative examples of coverage matrix catching missing operands"
C2,Two-stage LLM selection (parallel scouts + final arbiter) outperforms single-pass top-k selection,experiment,"Ablation: dual-scout+arbiter vs single-pass LLM selection vs top-k reranking cutoff",planned,yes,"Table: selection quality metrics across configurations"
C2,Accounting-role-aware selection captures computational completeness that semantic similarity alone misses,experiment+citation,"Literature: no prior work on role-aware table selection; Experiment: error analysis on questions where reranking alone fails but coverage matrix succeeds",planned,no,"Case studies showing failure modes of pure reranking"
C3,AST-level code linting with unit normalization reduces financial calculation errors,experiment,"Ablation: generation with vs without AST validation passes; error categorization study",planned,yes,"Table: error categories and frequencies with/without AST validation; Figure: AST validation pipeline"
C3,Metadata isolation guards prevent LLM from fabricating DataFrame attributes,experiment,"Count of intercepted df.metadata/df.attrs access attempts across evaluation set",planned,no,"Report as part of error analysis section"
C3,Rounding control preserves intermediate precision in multi-step calculations,experiment,"Ablation: accuracy with vs without rounding guard; examples of precision degradation",planned,no,"Brief analysis within code synthesis section"
C3,Unit scale normalization (VND/million/billion) corrects common LLM unit confusion errors,experiment,"Error analysis: frequency of unit confusion errors before/after normalization; accuracy impact",planned,no,"Case studies with specific unit conversion examples"
C4,Offline pipeline classifies Vietnamese financial statements across four regulatory entity domains,experiment,"Coverage statistics: number of companies/reports per entity type (DN/TCTD/CTCK/BH); classification accuracy",planned,yes,"Table: dataset statistics by entity domain"
C4,Taxonomy induction from OCR text improves retrieval quality without LLM annotation,experiment,"Ablation: retrieval metrics with vs without taxonomy-enriched index text",planned,no,"Brief comparison within offline pipeline section"
C4,OCR table extraction handles Vietnamese-specific formatting and accounting standards,citation+experiment,"Literature: Vietnamese document AI challenges; Experiment: extraction success rates across report types",verified,no,"Describe heuristics and recovery mechanisms"
C1,System architecture is implemented as a compiled LangGraph state machine with fault-tolerant retry policies,citation,"LangGraph framework; differentiated retry policies for transient vs semantic failures",verified,yes,"Figure: state graph topology diagram"
C1,Hybrid retrieval (dense embedding + BM25) with reciprocal rank fusion provides balanced recall,citation+experiment,"Literature: hybrid search advantages; Experiment: dense-only vs hybrid retrieval metrics",planned,no,"Report within retrieval section"
C1,Cross-encoder reranking (BGE-M3) significantly improves precision from initial retrieval,citation+experiment,"Literature: BGE reranker capabilities; Experiment: metrics before/after reranking",planned,no,"Report within reranking section"
C1,Sandboxed microVM execution with network isolation and bounded result protocol ensures safe code execution,citation,"E2B/Firecracker literature; security analysis of execution boundary",verified,no,"Describe as design decision; not a novel research claim"
